unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Bacteroides uniformis;3.31;1.34;0.34;0.21;0.14;0.11;0.1;0.05;0.04;0.03;0.02;0.01;0.01;0.91;1.03;0.19;0.08;0.06;0.03;0.03;0.02;0.01;0.0;0.61;77.7;34.8;5.77;1.45;1.4;0.99;0.79;0.73;0.22;0.19;0.09;0.09;0.08;0.07;0.03;0.03;0.02;0.02;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.8;0.32;0.05;0.04;0.04;0.02;0.01;0.01;0.0;0.16;17.6;17.6;Found;0.0;0.0;0.0;0.0;0.0
Ruthenibacterium lactatiformans;1.77;0.98;0.1;0.05;0.04;0.06;0.03;0.02;0.01;0.01;0.01;0.0;0.0;0.45;0.55;0.09;0.07;0.02;0.02;0.01;0.01;0.01;0.0;0.31;81.6;37.5;3.67;1.46;3.26;0.68;0.67;0.52;0.14;0.17;0.09;0.24;0.07;0.09;0.02;0.01;0.01;0.01;0.01;0.02;0.0;0.05;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.8;0.24;0.02;0.04;0.04;0.0;0.01;0.0;0.0;0.12;15.9;15.9;Found;0.0;0.0;0.0;0.0;0.0
Parabacteroides merdae;3.27;1.52;0.31;0.15;0.11;0.12;0.08;0.04;0.03;0.03;0.02;0.0;0.01;0.85;0.9;0.17;0.09;0.03;0.03;0.01;0.02;0.0;0.0;0.55;78.5;39.3;2.99;1.17;2.11;0.94;0.69;0.59;0.15;0.27;0.08;0.08;0.06;0.07;0.03;0.03;0.02;0.02;0.02;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;29.8;0.27;0.03;0.03;0.03;0.0;0.01;0.0;0.0;0.16;17.0;17.0;Found;0.0;0.0;0.0;0.0;0.0
Bifidobacterium pseudocatenulatum;3.74;1.76;0.32;0.13;0.13;0.17;0.12;0.07;0.04;0.01;0.03;0.01;0.01;0.95;1.43;0.27;0.11;0.14;0.08;0.0;0.01;0.01;0.0;0.8;74.1;31.8;3.86;0.66;1.7;0.41;0.52;1.28;0.11;0.14;0.1;0.25;0.14;0.02;0.04;0.04;0.01;0.17;0.02;0.16;0.01;0.05;0.03;0.0;0.08;0.0;0.01;0.0;0.01;0.0;0.0;0.0;0.0;32.5;0.54;0.07;0.08;0.04;0.0;0.03;0.01;0.0;0.3;20.2;20.2;Found;0.0;0.0;0.0;0.0;0.0
Flavonifractor plautii;1.12;0.46;0.08;0.06;0.04;0.06;0.03;0.02;0.01;0.01;0.01;0.0;0.0;0.33;0.59;0.17;0.07;0.02;0.01;0.01;0.01;0.0;0.0;0.29;82.4;36.5;4.55;1.21;1.54;0.52;1.72;1.08;0.27;0.23;0.09;0.19;0.04;0.08;0.03;0.01;0.01;0.01;0.0;0.02;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.2;0.22;0.02;0.03;0.05;0.0;0.0;0.0;0.0;0.1;15.7;15.7;Found;0.0;0.0;0.0;0.0;0.0
Alistipes putredinis;4.07;1.95;0.35;0.21;0.14;0.12;0.08;0.05;0.04;0.04;0.03;0.01;0.01;1.06;0.93;0.16;0.12;0.03;0.03;0.0;0.02;0.0;0.0;0.55;77.8;41.7;3.55;0.65;0.64;0.25;0.73;0.54;0.13;0.14;0.08;0.03;0.1;0.03;0.04;0.03;0.01;0.02;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.27;0.03;0.05;0.03;0.01;0.01;0.01;0.0;0.13;17.0;17.0;Found;0.0;0.0;0.0;0.0;0.0
Turicibacter sanguinis;6.9;2.19;0.76;0.22;0.22;0.6;0.34;0.06;0.06;0.1;0.05;0.02;0.01;2.28;7.79;0.57;0.97;0.33;0.51;0.04;0.24;0.05;0.02;5.04;58.8;19.4;6.76;0.99;3.88;1.54;1.12;1.51;0.35;0.14;0.11;0.04;0.22;0.1;0.04;0.03;0.03;0.05;0.03;0.05;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.07;0.01;0.0;0.0;0.0;22.3;1.56;0.41;0.16;0.03;0.02;0.05;0.02;0.01;0.88;25.0;25.0;Found;0.03;0.0;0.0;0.0;0.0
Streptococcus vestibularis;3.32;1.38;0.19;0.24;0.21;0.15;0.12;0.03;0.02;0.01;0.03;0.05;0.01;0.88;1.25;0.29;0.19;0.15;0.05;0.01;0.01;0.03;0.0;0.53;68.5;40.6;1.13;0.14;0.92;0.31;0.29;0.55;0.05;0.03;0.02;0.05;0.19;0.05;0.03;0.07;0.01;0.03;0.07;0.07;0.01;0.0;0.01;0.01;0.0;0.0;0.0;0.0;0.02;0.0;0.03;0.0;0.0;23.8;0.56;0.08;0.09;0.08;0.01;0.02;0.02;0.0;0.27;26.4;26.4;Found;0.0;0.0;0.0;0.0;0.0
Streptococcus salivarius;3.32;1.38;0.19;0.24;0.21;0.15;0.12;0.03;0.02;0.01;0.03;0.05;0.01;0.88;1.25;0.29;0.19;0.15;0.05;0.01;0.01;0.03;0.0;0.53;68.5;40.6;1.13;0.14;0.92;0.31;0.29;0.55;0.05;0.03;0.02;0.05;0.19;0.05;0.03;0.07;0.01;0.03;0.07;0.07;0.01;0.0;0.01;0.01;0.0;0.0;0.0;0.0;0.02;0.0;0.03;0.0;0.0;23.8;0.56;0.08;0.09;0.08;0.01;0.02;0.02;0.0;0.27;26.4;26.4;Found;0.0;0.0;0.0;0.0;0.0
Bacteroides caccae;2.18;1.17;0.14;0.15;0.04;0.06;0.06;0.02;0.02;0.01;0.01;0.0;0.0;0.49;0.6;0.1;0.08;0.02;0.02;0.07;0.0;0.01;0.01;0.29;82.6;42.6;3.5;1.37;0.84;1.17;0.26;0.55;0.26;0.04;0.09;0.05;0.04;0.02;0.03;0.01;0.01;0.01;0.01;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;31.7;0.18;0.01;0.02;0.04;0.0;0.01;0.0;0.0;0.1;14.4;14.4;Found;0.0;0.0;0.0;0.0;0.0
